City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,maniitsoq,65.4167,-52.9,1.89,76,100,10.16,GL,1675202811
135,taoudenni,22.6783,-3.9836,60.44,16,41,13.24,ML,1675202812
136,mandiana,10.6333,-8.6833,79.27,16,6,4.97,GN,1675202812
137,east london,-33.0153,27.9116,73.22,89,83,13.0,ZA,1675202693
138,george,-33.963,22.4617,62.15,100,75,4.61,ZA,1675202686
139,paignton,50.4357,-3.5679,45.64,83,21,5.99,GB,1675202813
140,gannavaram,16.5333,80.8,68.02,84,54,4.18,IN,1675202813
141,port moresby,-9.4431,147.1797,79.05,84,98,4.56,PG,1675202814
142,klaeng,12.7797,101.6483,76.95,94,94,2.86,TH,1675202814
143,jiuquan,39.7432,98.5174,17.55,49,41,3.4,CN,1675202814
144,saint-leu,-21.15,55.2833,77.86,79,85,11.61,RE,1675202815
145,adrar,20.5022,-10.0711,65.41,11,58,9.44,MR,1675202815
146,nyurba,63.2842,118.3319,-36.98,99,99,4.81,RU,1675202816
147,dwarka,22.2394,68.9678,67.8,60,7,16.58,IN,1675202816
148,voznesenye,61.0106,35.4781,23.83,88,84,10.27,RU,1675202816
149,itabera,-23.8619,-49.1372,69.91,93,100,3.47,BR,1675202817
150,annau,37.8876,58.516,50.63,60,100,2.24,TM,1675202817
151,saint-philippe,-21.3585,55.7679,78.39,87,100,9.37,RE,1675202818
152,busselton,-33.65,115.3333,57.11,76,0,16.75,AU,1675202649
153,general roca,-39.0333,-67.5833,72.63,41,100,6.49,AR,1675202818
154,sioux lookout,50.1001,-91.917,1.62,88,100,5.68,CA,1675202819
155,pacific grove,36.6177,-121.9166,60.42,42,0,7.0,US,1675202819
156,itamaraca,-7.7478,-34.8256,82.45,74,100,9.31,BR,1675202819
157,la asuncion,11.0333,-63.8628,76.01,74,0,12.12,VE,1675202643
158,pandan,14.0453,124.1694,76.86,89,85,14.18,PH,1675202820
159,mahebourg,-20.4081,57.7,76.24,80,79,12.37,MU,1675202820
160,iberia,29.9502,-91.7507,53.6,94,100,9.22,US,1675202820
161,la ronge,55.1001,-105.2842,-5.24,86,94,5.41,CA,1675202821
162,nieuw amsterdam,5.8833,-55.0833,78.82,84,40,4.61,SR,1675202821
163,kaitong,44.8135,123.15,17.01,67,100,14.12,CN,1675202822
164,hefei,31.8639,117.2808,47.08,53,3,7.43,CN,1675202823
165,tandil,-37.3217,-59.1332,75.69,35,52,13.91,AR,1675202678
166,uige,-7.6087,15.0613,66.06,97,96,2.46,AO,1675202823
167,airai,-8.9266,125.4092,60.75,93,96,1.97,TL,1675202824
168,pangnirtung,66.1451,-65.7125,-28.17,64,56,8.08,CA,1675202825
169,te anau,-45.4167,167.7167,66.52,77,100,0.2,NZ,1675202734
170,dikson,73.5069,80.5464,-7.98,93,96,9.06,RU,1675202825
171,kaseda,31.4167,130.3167,58.42,68,95,12.66,JP,1675202826
172,luderitz,-26.6481,15.1594,61.5,95,0,9.95,NA,1675202826
173,bawal,28.0833,76.5833,49.32,71,0,7.78,IN,1675202827
174,pangody,65.85,74.4859,6.71,93,100,15.41,RU,1675202827
175,qostanay,53.1667,63.5833,-3.71,84,0,4.47,KZ,1675202828
176,ponta delgada,37.7333,-25.6667,56.12,71,20,4.61,PT,1675202829
177,comodoro rivadavia,-45.8667,-67.5,68.88,45,0,25.93,AR,1675202829
178,codrington,-38.2667,141.9667,59.41,81,91,16.44,AU,1675202830
179,yerbogachen,61.2767,108.0108,-32.03,100,76,2.82,RU,1675202830
180,bambous virieux,-20.3428,57.7575,76.21,81,81,12.97,MU,1675202831
181,kaupanger,61.1845,7.2404,26.83,98,100,0.96,NO,1675202831
182,port elizabeth,-33.918,25.5701,70.11,98,21,1.01,ZA,1675202832
183,bayburt,40.2589,40.2278,22.6,97,99,2.59,TR,1675202833
184,igrim,63.1906,64.4162,18.93,93,100,10.02,RU,1675202833
185,byron bay,-28.65,153.6167,74.71,89,57,4.85,AU,1675202708
186,yar-sale,66.8333,70.8333,11.46,92,100,15.64,RU,1675202834
187,mar del plata,-38.0023,-57.5575,72.95,90,75,17.27,AR,1675202766
188,naliya,23.2667,68.8333,62.78,51,1,11.14,IN,1675202834
189,dingle,10.9995,122.6711,74.26,95,52,8.97,PH,1675202835
190,aguimes,27.9054,-15.4461,57.67,82,75,9.22,ES,1675202835
191,hay river,60.8156,-115.7999,-11.18,94,73,6.96,CA,1675202836
192,nagato,34.3833,131.2,43.7,81,86,11.41,JP,1675202836
193,hofn,64.2539,-15.2082,29.84,65,99,21.14,IS,1675202837
194,mehamn,71.0357,27.8492,31.91,93,75,14.97,NO,1675202838
195,progreso,21.2833,-89.6667,87.91,70,9,14.34,MX,1675202838
196,toowoomba,-27.55,151.9667,71.26,91,61,3.0,AU,1675202839
197,bethel,41.3712,-73.414,35.96,57,0,6.91,US,1675202839
198,omachi,36.5,137.8667,17.42,90,38,4.83,JP,1675202839
199,waingapu,-9.6567,120.2641,78.6,83,75,6.42,ID,1675202608
200,caravelas,-17.7125,-39.2481,76.8,81,26,6.8,BR,1675202840
201,vanimo,-2.6741,141.3028,78.03,87,99,3.0,PG,1675202841
202,hambantota,6.1241,81.1185,75.54,100,40,0.0,LK,1675202560
203,mbandaka,0.0487,18.2603,75.42,68,20,2.55,CD,1675202841
204,jalu,29.0331,21.5482,53.01,65,25,10.83,LY,1675202842
205,havoysund,70.9963,24.6622,34.03,83,100,17.47,NO,1675202732
206,klaksvik,62.2266,-6.589,40.87,89,100,28.45,FO,1675202844
207,magole,-6.3667,37.3667,69.49,83,97,1.86,TZ,1675202845
208,prabumulih,-3.45,104.25,71.92,99,97,3.44,ID,1675202845
209,maymyo,22.0333,96.4667,58.46,61,2,0.76,MM,1675202846
